season,team,position,depth_rank,player_name,gsis_id,role,confidence,notes
2026,BAL,WR,1,Rashod Bateman,00-0036550,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,WR,2,Devontez Walker,00-0039792,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,WR,3,Zay Flowers,00-0039064,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,TE,1,Mark Andrews,00-0034753,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BAL,TE,2,Durham Smythe,00-0034798,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,QB,1,Josh Allen,00-0034857,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,QB,2,Kyle Allen,00-0034577,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,RB,1,James Cook,00-0037248,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,RB,2,Ty Johnson,00-0035537,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,WR,1,Keon Coleman,00-0039901,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,WR,2,DJ Moore,00-0034827,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,WR,3,Khalil Shakir,00-0037261,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,TE,1,Dalton Kincaid,00-0038933,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,BUF,TE,2,Dawson Knox,00-0035689,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,QB,1,Bryce Young,00-0039150,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,QB,2,Kenny Pickett,00-0038102,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,RB,1,Chuba Hubbard,00-0036555,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,RB,2,Jonathon Brooks,00-0039344,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,WR,1,Tetairoa McMillan,00-0040124,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,WR,2,Xavier Legette,00-0039342,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,WR,3,Jalen Coker,00-0039491,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,TE,1,Tommy Tremble,00-0037005,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CAR,TE,2,Ja'Tavion Sanders,00-0039356,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,QB,1,Caleb Williams,00-0039918,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,QB,2,Tyson Bagent,00-0038416,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,RB,1,D'Andre Swift,00-0036275,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,RB,2,Kyle Monangai,00-0040236,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,WR,1,Rome Odunze,00-0039919,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,WR,2,Luther Burden III,00-0040735,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,WR,3,Kalif Raymond,00-0032464,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,TE,1,Colston Loveland,00-0040126,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CHI,TE,2,Cole Kmet,00-0036290,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,QB,1,Joe Burrow,00-0036442,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,QB,2,Joe Flacco,00-0026158,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,RB,1,Chase Brown,00-0038597,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,RB,2,Samaje Perine,00-0033526,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,WR,1,Ja'Marr Chase,00-0036900,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,WR,2,Tee Higgins,00-0036410,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,WR,3,Andrei Iosivas,00-0038619,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,TE,1,Drew Sample,00-0035631,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CIN,TE,2,Mike Gesicki,00-0034829,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,QB,1,Shedeur Sanders,00-0040668,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,QB,2,Deshaun Watson,00-0033537,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,RB,1,Quinshon Judkins,00-0040784,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,RB,2,Dylan Sampson,00-0040162,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,WR,1,Denzel Boston,00-0041037,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,WR,2,Jerry Jeudy,00-0036407,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,WR,3,KC Concepcion,00-0041547,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,TE,1,Harold Fannin Jr.,00-0040663,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,CLE,TE,2,Blake Whiteheart,00-0038710,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,QB,1,Dak Prescott,00-0033077,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,QB,2,Joe Milton III,00-0039398,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,RB,1,Javonte Williams,00-0036997,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,RB,2,Jaydon Blue,00-0040586,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,WR,1,George Pickens,00-0037247,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,WR,2,CeeDee Lamb,00-0036358,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,WR,3,Ryan Flournoy,00-0039410,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,TE,1,Jake Ferguson,00-0038041,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DAL,TE,2,Brevyn Spann-Ford,00-0039530,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,QB,1,Bo Nix,00-0039732,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,QB,2,Jarrett Stidham,00-0035264,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,RB,1,J.K. Dobbins,00-0036158,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,RB,2,RJ Harvey,00-0040730,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,WR,1,Courtland Sutton,00-0034348,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,WR,2,Jaylen Waddle,00-0036613,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,WR,3,Marvin Mims Jr.,00-0038976,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,TE,1,Adam Trautman,00-0036422,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DEN,TE,2,Evan Engram,00-0033881,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,QB,1,Jared Goff,00-0033106,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,QB,2,Joshua Dobbs,00-0033949,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,RB,1,Jahmyr Gibbs,00-0039139,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,RB,2,Isiah Pacheco,00-0037197,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,WR,1,Jameson Williams,00-0037240,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,WR,2,Amon-Ra St. Brown,00-0036963,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,WR,3,Isaac TeSlaa,00-0040669,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,TE,1,Sam LaPorta,00-0039065,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,DET,TE,2,Brock Wright,00-0036754,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,QB,1,Jordan Love,00-0036264,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,QB,2,Tyrod Taylor,00-0028118,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,RB,1,Josh Jacobs,00-0035700,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,RB,2,MarShawn Lloyd,00-0039811,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,WR,1,Matthew Golden,00-0040667,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,WR,2,Christian Watson,00-0038124,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,WR,3,Jayden Reed,00-0039146,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,TE,1,Tucker Kraft,00-0038996,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,GB,TE,2,Josh Whyle,00-0038589,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,QB,1,C.J. Stroud,00-0039163,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,QB,2,Davis Mills,00-0036898,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,RB,1,David Montgomery,00-0035685,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,RB,2,Woody Marks,00-0040583,committee,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,WR,1,Nico Collins,00-0036554,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,WR,2,Jayden Higgins,00-0040130,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,WR,3,Jaylin Noel,00-0040138,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,TE,1,Dalton Schultz,00-0034383,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,HOU,TE,2,Foster Moreau,00-0034981,backup,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
2026,IND,QB,1,Daniel Jones,00-0035710,starter,high,"Released 2026 unofficial depth chart (ourlads, fetched 2026-08-12), used for membership/team/role-tier only - listed order is formation-based (LWR/RWR/SWR) and is NOT usage order, verified against 2025 targets."
